Issue Type,Issue key,Req Pro ID,JAMA ID,Summary,Description,Status,Module,Created,Updated,Reporter
Requirement,OTC-7178,SR441.1,OTCnet-REQ-2274,Display Corresponding Data Entry Screen,The system shall display the form associated with different processing methods/item types for the ALC+2 selected if configured.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7179,SR441.2,OTCnet-REQ-2275,Customer Present Processing,The system shall provide the capability to process checks when a customer is present.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7181,SR441.4,OTCnet-REQ-2277,Multiple Processing Methods within a Batch,The system shall allow users to process checks under different processing methods within a batch.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7180,SR441.3,OTCnet-REQ-2276,Customer Not Present Processing,The system shall provide the capability to process checks when a customer is not present.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7182,SR441.5,OTCnet-REQ-2278,Back Office Processing,The system shall provide the capability to process checks in a Back Office environment.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7189,SR442,OTCnet-REQ-2285,Select Item Type,The system shall require a user to select either Personal check or Non-Personal check one at a time before check scanning.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7191,SR442.2,OTCnet-REQ-2287,Personal Item Type,"The system shall display the Item Type, Personal or Non-Personal, that was chosen during check scanning.",Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7190,SR442.1,OTCnet-REQ-2286,Settle Best Method,The system shall allow a user to process non-personal and personal items together if Settle Best Method is configured as Cashflow setting.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7192,SR442.3,OTCnet-REQ-2288,Multiple Item Types within a Batch,The system shall allow a user to process both personal and non Personal check items within a batch.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7193,SR442.4,OTCnet-REQ-2289,Validate Item Type (Personal Check),The system shall display a message when a Non-Personal check is detected when scanning with Personal Item Type.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7194,SR442.5,OTCnet-REQ-2290,Continue Process a Non-Personal Check as a Personal Check,The system shall provide the capability to allow a user to continue to process a Non-Personal check as a Personal check.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7196,SR442.7,OTCnet-REQ-2292,Cancel Transaction for Personal Item Type,The system shall allow a user to cancel the current transaction if a Non-Personal check is detected when scanning with Personal Item Type.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7197,SR442.8,OTCnet-REQ-2293,Validate Item Type (Business Check),The system shall display a message when a Personal check is detected when a Non-Personal Check is expected.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7198,SR442.9,OTCnet-REQ-2294,Allow to Process Personal Check as Non-Personal,The system shall provide the capability to allow a user to continue to process a Personal check as a Non-Personal check.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7199,SR442.10,OTCnet-REQ-2295,Cancel Transaction for Non-Personal Item Type,The system shall allow a user to cancel the current transaction if a Personal check is detected when scanning with Non-Personal Item Type.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7256,SR459,OTCnet-REQ-2352,Detect Duplicate Checks,The system shall provide the capability to detect a duplicate check after the check information is entered in online mode.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7257,SR459.1,OTCnet-REQ-2353,Extend of Duplicate Check Detection,"The system shall check against the current open batches, current close batches and the entire database for a duplicate check in online mode. Online search for duplicate check will be from previous 14 days (current date - 14 days) onwards.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7259,SR459.3,OTCnet-REQ-2355,Duplicate Check Information,"The system shall display the following information when a duplicate check is detected:
Current Check
  Check Image
  Batch ID
  Bank Number
  Account Number
  Check Number
  Check Amount
Duplicate Check
  Check Image
  Batch ID
  Batch Control Total
  Batch Control Count
  Batch Create Date
  Check Capture Date",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7258,SR459.2,OTCnet-REQ-2354,Duplicate Check Rules,The system shall require a user to resolve the duplicate check issue if the MICR and the amount of the check matches with another check in the system.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7261,SR464,OTCnet-REQ-2357,Accept Duplicate,The system shall allow a user to accept the duplicate check.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7264,SR467,OTCnet-REQ-2360,Edit MICR,The system shall provide the capability to allow a user to edit the codeline of the duplicate check.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7268,SR471,OTCnet-REQ-2364,Rescan Check,The system shall provide the capability to rescan a check when a duplicate item is detected.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7274,SR477,OTCnet-REQ-2370,Scan a Check with Optional Batch Control,"The system shall provide an optional batch balancing capability to allow a user to validate the number of checks scanned, and the respective dollar amounts entered.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7275,SR477.1,OTCnet-REQ-2371,Batch Control for each ALC+2,The system shall request a user to enter the batch control information for each ALC+2 that is included in the batch.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7285,SR477.13,OTCnet-REQ-2381,Optional Batch Control at  Batch Close Only,The system shall request a user to enter optional batch control information at close batch.  (Only if it has been configured),Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7287,SR477.15,OTCnet-REQ-2383,Display Information in Batch Control,"The system shall display the OTC Endpoint (CHK) Short Name, description and ALC+2 in read-only mode when requesting the batch control information.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7288,SR477.16,OTCnet-REQ-2384,Default Batch Control Value,"The system shall display $0.00 as the batch control amount, and 0 as the batch control count by default.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7289,SR477.17,OTCnet-REQ-2385,Format of Batch Control Amount,"The system shall allow a user to enter the dollar amount ($0.00 format), and the batch control count.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7291,SR496,OTCnet-REQ-2387,Mandatory Batch Control,"The system shall provide mandatory batch balancing capability to allow a user to validate the number of checks scanned, and the respective dollar amounts entered.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7301,SR496.10,OTCnet-REQ-2397,Batch Control for each ALC+2,The system shall require a user to enter the batch control information for each ALC+2  that is included in the batch.,Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7302,SR496.11,OTCnet-REQ-2398,Display Information in Batch Control,"The system shall display the check capture short name, description and ALC+2 in read-only mode when requesting the batch control information.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7303,SR496.12,OTCnet-REQ-2399,Default Batch Control Value,"The system shall display $0.00 as the batch control amount, and 0 as the batch control count by default.",Open,Check Capture Online,8/18/2017 11:10,8/18/2017 11:10,guerra_daniel@bah.com
Requirement,OTC-7328,SR530,OTCnet-REQ-2424,Check Verification,The system shall perform the check verification if an agency has selected to validate the credibility of a check writer.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7329,SR530.1,OTCnet-REQ-2425,Display Suspend or Deny Message,"The system shall display a Block, Suspend or Denied message if the item scanned matches the MVD/LVD information. This is either the match of the combination of both the routing number and account number, or a match against the User Defined field1 data.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7330,SR530.2,OTCnet-REQ-2426,Display Current and Problem Item,The system shall display the message along with the details for the Current Item (item just scanned) and the Problem Item (item that caused the verification record).,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7331,SR530.3,OTCnet-REQ-2427,Current Item Information in Blocked,"The system shall display the following information for the Current Item in the message:
SSN, Bank Number and Account Number",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7332,SR530.4,OTCnet-REQ-2428,Problem Item Information in Blocked,"The system shall display the following information for the Problem Item in the message:
IRN, Until Date, MVD Date, Amount, Reason, Comments, OTC Endpoint and Description.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7335,SR532,OTCnet-REQ-2431,Override a Blocked Item,The system shall provide a user with an option to override a blocked record.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7337,SR532.2,OTCnet-REQ-2433,Temporary Override,The system shall not change the status of override the blocked record. The item remains blocked in the MVD/LVD.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7338,SR532.3,OTCnet-REQ-2434,Comment Required,The system shall require a user to enter a comment of overriding a block record.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7339,SR532.4,OTCnet-REQ-2435,Display Confirmation Message,The system shall display a message if the block record has been override successfully. The message should include the IRN number of the check that was performed.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7341,SR532.6,OTCnet-REQ-2437,Override Verification Record,The system shall assign an Overridden status to a check item if a user overrides a scanned check that is drawn on an account that has been identified as a red flag (check verification record) in online mode.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7342,SR532.7,OTCnet-REQ-2438,Override Verification Record,The system shall display the override verification option if a user scans a check that brings up the verification record. The verification record's deny date is the date the suspension is lifted.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7343,SR533,OTCnet-REQ-2439,Override a Suspended Item,The system shall allow a user to override a suspended item.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7344,SR533.1,OTCnet-REQ-2440,Current Item Information in Suspend,"The system shall display the following information for the Current Item in the message:
SSN, Bank Number and Account Number",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7345,SR533.2,OTCnet-REQ-2441,Problem Item Information in Suspend,"The system shall display the following information for the Problem Item in the message:
IRN, Until Date, Capture Date, Amount, Reason, and Comments",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7348,SR534.2,OTCnet-REQ-2444,Problem Item Information in Denied,"The system shall display the following information for the Problem Item in the message:
IRN, Until Date, MVD Date, Amount, Reason, Comments, OTC Endpoint and Description.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7347,SR534.1,OTCnet-REQ-2443,Current Item Information in Denied,"The system shall display the following information for the Current Item in the message:
SSN, Bank Number and Account Number",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7349,SR535,OTCnet-REQ-2445,Agency Specific Requirements,The system shall provide a means to print a receipt according to Agency-specific requirements.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7350,SR535.1,OTCnet-REQ-2446,Generate through Receipt Definition,The system shall generate a receipt based on the receipt definition per ALC + 2.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7351,SR535.2,OTCnet-REQ-2447,Auto populate User Defined Value Information,"The system shall auto-populate the data fields of the receipt from the current transaction data based on the receipt definition, including the user defined field values.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7352,SR535.3,OTCnet-REQ-2448,Enter Data for Receipt,The system shall allow a user to enter data for a receipt at the time of printing it  �input fields� have been specified in receipt definition.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7364,SR537.2,OTCnet-REQ-2460,Automatic Receipt with Preview,"The system shall display the following receipt information in a preview screen and allow users to print the receipt:
1. User name
2. Processing Method Information
3. Item Type Information
4. User Defined Fields (only if configured in form definition)
5. IRN
6. Bank Number
7. Check Number
8. Account Number
9. Date Time",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7363,SR537.1,OTCnet-REQ-2459,Automatic Receipt without Preview,The system shall provide the capability to print the receipt automatically prior to completing the check processing. (Only if it has been configured),Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7367,SR537.6,OTCnet-REQ-2463,Print Receipt to Printer Configured for Receipt Printing,The system shall print a receipt to the printer selected by a user if he/she has previously configured the terminal for manual or automatic printing.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7370,SR538,OTCnet-REQ-2466,Print Receipt before Next Transaction,The system shall allow a user to print a receipt at the end of the transaction and prior to scanning the next item or from a batch list.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7371,SR538.1,OTCnet-REQ-2467,Enable Receipt Printing when Using Key Pad,The system shall enable receipt printing only after the all User Defined Field data has been entered and the customer has approved the transaction using the Yes/No keypad (if the keypad is being used).,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7372,SR539,OTCnet-REQ-2468,Print Receipt in Batch List,The system shall provide the capability to allow a user to print the receipt if the user begins the next transaction without printing the receipt.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7373,SR540,OTCnet-REQ-2469,Void Item (Check),The system shall provide the capability to allow a user to void one or more checks in a batch if the batch has not been approved.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7374,SR540.1,OTCnet-REQ-2470,Void Item Information,"The system shall display at least the following information when a user chooses to void an item:
  Batch ID
  Short Name
  ALC+2
  Created On
  Item Count
  Total Amount
  Check Image Displayed
  Approved Items count and amount
  Void Items count and amount
  Total Items count and amount
  User Defined Fields",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7375,SR540.3,OTCnet-REQ-2471,Confirm Void Action,The system shall require a user to confirm the Void Item action.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7376,SR540.4,OTCnet-REQ-2472,Display IRN,The system shall display the Void Item IRN Number  in the confirmation message.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7377,SR540.5,OTCnet-REQ-2473,View Items in a Batch,The system shall allow users to view all the items within a batch during the void item operation.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7379,SR540.7,OTCnet-REQ-2475,Confirmation Message,The system shall display a confirmation message once the void action has been successfully performed.,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7380,SR540.8,OTCnet-REQ-2476,Change Voided Item Status,"The system shall display the batch list with the status for the voided item updated to ""Void"".",Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7385,SR540.14,OTCnet-REQ-2481,Save Supervisor ID for Void Item,"The system shall store the user id of the person who voids a check within a batch. However, the system shall retain the Cashier ID value of the person who originally scanned the check.",Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7386,SR541,OTCnet-REQ-2482,Continue Display Void Item,"The system shall continue to display the void item in Batch List and Batch Close screen with a status of ""Void"".",Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7388,SR544.3,OTCnet-REQ-2484,View Cashier ID at Check item Level,The system shall display the user id of the person who scanned the check when a user views items at the check level,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7429,SR1298,OTCnet-REQ-5280,Capture accounting code optionally in single mode -  non GWA Reporter,The system shall allow a user to capture the accounting code (C- Key / TAS String) optionally for check transactions in single mode unless an OTC Endpoint is designated as a GWA Reporter and configured for item level classification.,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7430,SR1298.1,OTCnet-REQ-5281,Capture the accounting code -  GWA Reporter,The system shall require a user to capture the accounting code (C- Key / TAS String) for check transactions if an OTC Endpoint is a GWA Reporter in single mode and configured for item level classification.,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7432,SR1298.3,OTCnet-REQ-5283,Informational Message for Non GWA Reporter,"The system shall display an informational message, per user interface guideline,  and allow a user to continue the check scan activity if no accounting codes are available for selection, if the Endpoint is not a GWA Reporter.",Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7434,SR1298.5,OTCnet-REQ-5285,Enter the accounting code information before check scanning,The system shall allow a user to enter the accounting code information before a check is scanned in single mode.,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7435,SR1298.6,OTCnet-REQ-5286,Enter the accounting code information  after the check is scanned,The system shall allow a user to enter the accounting code information after a check is scanned in single mode.,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7436,SR1298.7,OTCnet-REQ-5287,Agency Accounting Code Label,"The system shall display ""Agency Accounting Code"" as the label for the accounting code field on check scan page in single mode.",Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7438,SR1299,OTCnet-REQ-5289,Sticky Single Accounting Code Information- Single Mode (Same Check Scan Session),"The system shall provide the sticky capability to allow a user to apply the same accounting code to subsequent check transactions within the same check scan session only if the previous transaction was classified using one accounting code in single mode.
Note: This will not apply to a previously saved transaction classified with one accounting code using the multiple classification option",Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7437,SR1298.8,OTCnet-REQ-5288,Display Accounting Code and Description after code selected,The system shall display the full Agency Accounting Code and full Accounting Code Description once a user has specified the Accounting Code for a check transaction in single mode.,Open,Check Capture Online,8/18/2017 11:12,8/18/2017 11:12,guerra_daniel@bah.com
Requirement,OTC-7439,SR1299.1,OTCnet-REQ-5290,Sticky Single Accounting Code Information - Different check scan user session,"The system shall ensure the selected accounting code is ""sticky"" between transactions and between batches for a given user and ALC+2 in different check scan sessions if the previous saved transaction was classified using only one accounting code.
Note: This will also apply to a previously saved transaction classified with one accounting code using the multiple classification option.",Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7440,SR1299.2,OTCnet-REQ-5291,Sticky Accounting Code Information - Login and Logout (Different Check Scan User Session),"The system shall display the sticky accounting code value based on the last saved transaction for the ALC+2 selected and the user, if the user logs out of the application and logs back in again.
Note: This will also apply to a previously saved transaction classified with one accounting code using the multiple classification option.",Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7441,SR1299.3,OTCnet-REQ-5292,Sticky Accounting Code Information - Cancel Check Item (Different Check Scan Session),"The system shall display the sticky accounting code selected based on the previous saved transaction between different check scan sessions even if a user cancels the check scan process.
Note: This will also apply to a previously saved transaction classified with one accounting code using the multiple classification option, in which single accounting code method will be selected with the sticky accounting code.",Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7442,SR1299.4,OTCnet-REQ-5293,Sticky Accounting Code Information - Select another OTC Endpoint,The system shall default the sticky accounting code value if the user selects another OTC Endpoint within the same user session in single mode. The sticky accounting code will be based on the last saved transaction for the OTC Endpoint (ALC+2) selected and the user.,Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7444,SR1300,OTCnet-REQ-5295,Save Accounting Code Information for Check Transactions,The system shall provide the capability to save the accounting code information for a check transaction if the information is provided by a user in single mode.,Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7445,SR1300.1,OTCnet-REQ-5296,One or More Accounting Codes for each Check Transaction,The system shall support one or more accounting codes per check transaction in single mode..,Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7466,SR1593,OTCnet-REQ-5564,Save User ID for Check Transactions in Single Mode,The system shall store the user id of the person who scanned the check at the individual check item level when they save the check transaction in single mode processing,Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7467,SR1598,OTCnet-REQ-5569,Save Supervisor ID for Edit Item,"The system shall store the user id of the person who edited the check when a user saves changes to an item. However, the system shall retain the Cashier ID value of the person who originally scanned the check.",Open,Check Capture Online,8/18/2017 11:13,8/18/2017 11:13,guerra_daniel@bah.com
Requirement,OTC-7317,SR524,OTCnet-REQ-2413,Image Quality Check,"The system shall perform image quality checks on each check, as soon as the check is captured and the image is available.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7318,SR524.1,OTCnet-REQ-2414,Image Quality Information,"The system shall display the following information when the quality of the check image does not pass the quality test:
1. Check Image
2. Bank Number
3. Account Number
4. Check Number
5. Reason for the image failure",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7319,SR524.2,OTCnet-REQ-2415,Display Reasons for Failure,The system shall display the reason why the image quality checked failed on an image.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7320,SR527,OTCnet-REQ-2416,Accept Poor Image Quality Check,The system shall allow a user to accept the check as-is even if the image quality check failed.,Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7321,SR527.1,OTCnet-REQ-2417,Log Authorization to Accept Poor Image,"The system shall log the authorization to accept a poor image in the audit log along with the message type, date and timestamp, module affected, description, OTC Endpoint, username, source and details.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
Requirement,OTC-7322,SR527.2,OTCnet-REQ-2418,Log Poor Quality Item,"The system shall log the item with poor image quality in the audit log along with the message type, date and timestamp, module affected, description, OTC Endpoint, username, source and details.",Open,Check Capture Online,8/18/2017 11:11,8/18/2017 11:11,guerra_daniel@bah.com
